Species,Latin Name,Year,Queens,Workers,Males,Unknown
Indet. Bee,Bombus sp.,2011,0,0,0,2
Buff-tailed Bumblebee,BOMBUS terrestris,2011,1,0,0,0
a white-tailed bumblebee,BOMBUS lucorum s.l.,2011,2,0,0,0
Red-tailed Bumblebee,BOMBUS lapidarius,2011,1,0,0,0
Buff-tailed Bumblebee,BOMBUS terrestris,2011,1,0,0,0
Red-tailed Bumblebee,BOMBUS lapidarius,2011,2,0,0,0
Buff-tailed Bumblebee,BOMBUS terrestris,2011,0,1,0,0
Garden Bumblebee,BOMBUS hortorum,2011,0,4,0,0
Common Carder,BOMBUS pascuorum,2011,0,4,0,0
a white-tailed bumblebee,BOMBUS lucorum s.l.,2011,0,4,0,0
Forest Cuckoo Bumblebee,BOMBUS sylvestris,2011,0,0,1,0
a white-tailed bumblebee,BOMBUS lucorum s.l.,2011,1,0,0,0
Common Carder,BOMBUS pascuorum,2011,3,0,0,0
Buff-tailed Bumblebee,BOMBUS terrestris,2011,1,0,0,0
Early Bumblebee,BOMBUS pratorum,2011,0,1,0,0
Red-tailed Bumblebee,BOMBUS lapidarius,2011,1,0,0,0
a white-tailed bumblebee,BOMBUS lucorum s.l.,2011,1,0,0,0
Buff-tailed Bumblebee,BOMBUS terrestris,2011,1,0,0,0
White/Buff-tailed Bumblebee workers,Bombus lucorum/terrestris,2011,0,1,0,0
Red-tailed Bumblebee,BOMBUS lapidarius,2011,2,0,0,0
Red-tailed Bumblebee,BOMBUS lapidarius,2011,1,0,0,0
a white-tailed bumblebee,BOMBUS lucorum s.l.,2011,1,0,0,0
Buff-tailed Bumblebee,BOMBUS terrestris,2011,1,0,0,0
Red-tailed Bumblebee,BOMBUS lapidarius,2011,1,0,0,0
Red-tailed Cuckoo Bumblebee,BOMBUS rupestris,2011,0,0,0,1
Red-tailed Bumblebee,BOMBUS lapidarius,2011,0,2,0,0
Early Bumblebee,BOMBUS pratorum,2011,0,1,0,0
Common Carder,BOMBUS pascuorum,2011,1,0,0,0
Tree Bumblebee,BOMBUS hypnorum,2011,0,0,1,0
Indet. Bee,Bombus sp.,2011,0,0,0,1
Tree Bumblebee,BOMBUS hypnorum,2011,0,0,1,0
Southern Cuckoo Bumblebee,BOMBUS vestalis,2011,0,0,1,0
Red-tailed Bumblebee,BOMBUS lapidarius,2011,0,2,0,0
Red-tailed Bumblebee,BOMBUS lapidarius,2011,0,0,1,0
Tree Bumblebee,BOMBUS hypnorum,2011,0,5,0,0
Forest Cuckoo Bumblebee,BOMBUS sylvestris,2011,0,0,0,2
White/Buff-tailed Bumblebee workers,Bombus lucorum/terrestris,2011,0,6,0,0
Red-tailed Bumblebee,BOMBUS lapidarius,2011,0,7,0,0
Indet. Bee,Bombus sp.,2011,0,0,1,0
Indet. Bee,Bombus sp.,2011,0,0,0,5
Early Bumblebee,BOMBUS pratorum,2011,0,1,0,0
Indet. Bee,Bombus sp.,2011,1,0,0,0
Tree Bumblebee,BOMBUS hypnorum,2011,0,4,0,0
White/Buff-tailed Bumblebee workers,Bombus lucorum/terrestris,2011,0,9,0,0
Buff-tailed Bumblebee,BOMBUS terrestris,2011,0,3,0,0
Indet. Bee,Bombus sp.,2011,0,0,0,30
Buff-tailed Bumblebee,BOMBUS terrestris,2011,1,0,0,0
Buff-tailed Bumblebee,BOMBUS terrestris,2011,0,6,0,0
Buff-tailed Bumblebee,BOMBUS terrestris,2011,0,1,0,0
Common Carder,BOMBUS pascuorum,2011,0,3,0,0
Buff-tailed Bumblebee,BOMBUS terrestris,2011,0,1,0,0
Buff-tailed Bumblebee,BOMBUS terrestris,2011,0,2,0,0
Buff-tailed Bumblebee,BOMBUS terrestris,2011,0,4,0,0
Red-tailed Bumblebee,BOMBUS lapidarius,2011,0,7,0,0
Early Bumblebee,BOMBUS pratorum,2011,0,11,0,0
Common Carder,BOMBUS pascuorum,2011,0,8,0,0
Honeybee,APIS mellifera,2011,0,3,0,0
Buff-tailed Bumblebee,BOMBUS terrestris,2011,3,0,0,0
Red-tailed Bumblebee,BOMBUS lapidarius,2011,1,0,0,0
Early Bumblebee,BOMBUS pratorum,2011,3,0,0,0
Common Carder,BOMBUS pascuorum,2011,3,0,0,0
Honeybee,APIS mellifera,2011,0,18,0,0
Buff-tailed Bumblebee,BOMBUS terrestris,2011,1,0,0,0
Indet. Bee,Bombus sp.,2011,1,0,0,0
Honeybee,APIS mellifera,2011,0,0,0,4
Honeybee,APIS mellifera,2011,0,0,0,2
Indet. Bee,Bombus sp.,2011,0,2,0,0
Buff-tailed Bumblebee,BOMBUS terrestris,2011,0,1,0,0
Red-tailed Bumblebee,BOMBUS lapidarius,2011,0,1,0,0
Red-tailed Bumblebee,BOMBUS lapidarius,2011,0,0,2,0
Indet. Bee,Bombus sp.,2011,0,0,0,3
Indet. Bee,Bombus sp.,2011,0,0,0,2
Tree Bumblebee,BOMBUS hypnorum,2011,0,0,0,1
Common Carder,BOMBUS pascuorum,2011,0,0,1,0
Buff-tailed Bumblebee,BOMBUS terrestris,2011,1,0,0,0
Buff-tailed Bumblebee,BOMBUS terrestris,2011,0,0,1,0
Red-tailed Bumblebee,BOMBUS lapidarius,2011,0,3,0,0
Early Bumblebee,BOMBUS pratorum,2011,0,0,1,0
Buff-tailed Bumblebee,BOMBUS terrestris,2011,0,1,0,0
Common Carder,BOMBUS pascuorum,2011,0,1,0,0
Indet. Bee,Bombus sp.,2011,0,2,0,0
Indet. Bee,Bombus sp.,2011,0,0,0,1
Indet. Bee,Bombus sp.,2011,0,0,0,1
Indet. Bee,Bombus sp.,2011,0,0,0,1
Indet. Bee,Bombus sp.,2011,0,0,0,3
Tree Bumblebee,BOMBUS hypnorum,2011,0,0,0,2
Indet. Bee,Bombus sp.,2011,0,0,0,1
Buff-tailed Bumblebee,BOMBUS terrestris,2011,1,0,0,0
Red-tailed Bumblebee,BOMBUS lapidarius,2011,0,1,0,0
Buff-tailed Bumblebee,BOMBUS terrestris,2010,0,0,0,1
Buff-tailed Bumblebee,BOMBUS terrestris,2010,0,0,0,5
Buff-tailed Bumblebee,BOMBUS terrestris,2010,0,0,0,1
Common Carder,BOMBUS pascuorum,2010,0,0,0,6
a white-tailed bumblebee,BOMBUS lucorum s.l.,2010,0,0,0,9
Common Carder,BOMBUS pascuorum,2010,0,0,0,2
Buff-tailed Bumblebee,BOMBUS terrestris,2011,0,9,0,0
Early Bumblebee,BOMBUS pratorum,2011,0,4,0,0
Common Carder,BOMBUS pascuorum,2011,0,3,0,0
Buff-tailed Bumblebee,BOMBUS terrestris,2011,0,1,0,0
Buff-tailed Bumblebee,BOMBUS terrestris,2011,0,9,0,0
Early Bumblebee,BOMBUS pratorum,2011,0,4,0,0
