Species,Latin Name,Year,Queens,Workers,Males,Unknown
Honeybee,APIS mellifera,2010,0,0,0,3
Common Carder,BOMBUS pascuorum,2010,1,0,0,0
Common Carder,BOMBUS pascuorum,2010,0,1,0,0
Common Carder,BOMBUS pascuorum,2010,1,0,0,0
Common Carder,BOMBUS pascuorum,2010,0,2,0,0
Buff-tailed Bumblebee,BOMBUS terrestris,2010,0,7,0,0
Indet. Bee,Bombus sp.,2010,0,0,0,2
Indet. Bee,Bombus sp.,2010,0,0,0,2
Indet. Bee,Bombus sp.,2010,0,0,0,3
Common Carder,BOMBUS pascuorum,2010,0,0,0,1
Honeybee,APIS mellifera,2010,0,0,0,4
Honeybee,APIS mellifera,2010,0,0,0,1
Honeybee,APIS mellifera,2010,0,0,0,1
Indet. Bee,Bombus sp.,2010,0,0,0,1
Buff-tailed Bumblebee,BOMBUS terrestris,2010,0,1,0,0
a white-tailed bumblebee,BOMBUS lucorum s.l.,2010,0,5,0,0
Garden Bumblebee,BOMBUS hortorum,2010,1,0,0,0
Common Carder,BOMBUS pascuorum,2010,0,1,0,0
Garden Bumblebee,BOMBUS hortorum,2010,1,0,0,0
Common Carder,BOMBUS pascuorum,2010,0,3,0,0
Buff-tailed Bumblebee,BOMBUS terrestris,2010,0,0,0,1
Common Carder,BOMBUS pascuorum,2010,0,0,0,15
Buff-tailed Bumblebee,BOMBUS terrestris,2010,0,0,0,10
Honeybee,APIS mellifera,2010,0,0,0,1
Red-tailed Bumblebee,BOMBUS lapidarius,2010,1,0,0,0
Common Carder,BOMBUS pascuorum,2010,1,0,0,0
Red-tailed Bumblebee,BOMBUS lapidarius,2010,3,0,0,0
Red-tailed Bumblebee,BOMBUS lapidarius,2010,0,0,1,0
Common Carder,BOMBUS pascuorum,2010,1,0,0,0
a white-tailed bumblebee,BOMBUS lucorum s.l.,2010,1,0,0,0
a white-tailed bumblebee,BOMBUS lucorum s.l.,2010,0,0,2,0
Southern Cuckoo Bumblebee,BOMBUS vestalis,2010,2,0,0,0
Southern Cuckoo Bumblebee,BOMBUS vestalis,2010,0,0,3,0
Red-tailed Bumblebee,BOMBUS lapidarius,2010,2,0,0,0
Red-tailed Bumblebee,BOMBUS lapidarius,2010,0,0,1,0
Common Carder,BOMBUS pascuorum,2010,1,0,0,0
a white-tailed bumblebee,BOMBUS lucorum s.l.,2010,2,0,0,0
